,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.4072,31.51,93,0,5.75,clear sky
1,Barrow,US,71.2906,-156.7887,-2.18,84,20,13.8,mist
2,Tukrah,LY,32.5341,20.5791,63.05,78,6,5.84,light rain
3,Yellowknife,CA,62.456,-114.3525,25.32,100,100,12.66,light snow
4,Kommunisticheskiy,RU,61.6789,64.4819,1.24,89,100,11.36,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,69.55,85,54,1.99,broken clouds
6,Goedereede,NL,51.8175,3.9806,52.05,91,100,4.0,overcast clouds
7,Vaini,TO,-21.2,-175.2,77.16,94,40,9.22,drizzle
8,Roura,GF,4.7263,-52.3274,76.91,94,20,2.3,few clouds
9,Hasaki,JP,35.7333,140.8333,56.21,80,100,12.73,overcast clouds
10,Bluff,NZ,-46.6,168.3333,64.9,60,100,6.71,overcast clouds
11,Sambava,MG,-14.2667,50.1667,78.12,67,6,4.85,clear sky
12,Norman Wells,CA,65.282,-126.8329,19.44,86,75,19.57,light snow
13,Katsuyama,JP,36.0617,136.501,59.36,53,36,5.64,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,47.86,81,0,4.61,clear sky
15,Vila Velha,BR,-20.3297,-40.2925,76.95,89,75,11.5,broken clouds
16,Albany,US,42.6001,-73.9662,28.53,81,28,3.65,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,74.34,84,100,13.47,overcast clouds
18,San Patricio,US,28.017,-97.5169,58.86,83,46,13.06,scattered clouds
19,Belluru,IN,12.9911,76.7444,74.86,73,73,9.06,broken clouds
20,Ravar,IR,31.2656,56.8055,59.58,39,0,2.42,clear sky
21,Clyde River,CA,70.4692,-68.5914,-1.97,78,0,17.27,clear sky
22,Ponta Do Sol,PT,32.6667,-17.1,66.83,69,93,2.71,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,-2.83,79,42,4.09,scattered clouds
24,Ternate,ID,0.8,127.4,85.37,68,41,6.11,scattered clouds
25,Lukow,PL,51.929,22.3796,39.92,90,56,5.14,broken clouds
