City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lagoa,39.05,-27.9833,62.73,69,100,17.45,PT,2022-11-08 03:11:33
1,Victoria,22.2855,114.1577,76.24,85,94,8.99,HK,2022-11-08 03:11:33
2,West Wendover,40.7391,-114.0733,38.41,65,100,12.66,US,2022-11-08 03:11:33
3,Atuona,-9.8,-139.0333,77.13,71,99,15.03,PF,2022-11-08 03:11:34
4,Ponta Do Sol,32.6667,-17.1,68.72,84,66,3.4,PT,2022-11-08 03:11:31
5,Bitlis,38.5,42.25,37.33,67,100,1.28,TR,2022-11-08 03:11:34
6,Puerto El Triunfo,13.2833,-88.55,77.27,85,23,2.62,SV,2022-11-08 03:11:34
7,Punta Arenas,-53.15,-70.9167,50.11,71,0,14.97,CL,2022-11-08 03:08:03
8,Kodiak,57.79,-152.4072,36.91,87,100,13.8,US,2022-11-08 03:11:00
9,Vaini,-21.2,-175.2,80.76,74,20,8.05,TO,2022-11-08 03:11:25
10,Ushuaia,-54.8,-68.3,55.02,54,20,5.75,AR,2022-11-08 03:11:34
11,Hilo,19.7297,-155.09,78.53,79,75,4.61,US,2022-11-08 03:06:49
12,Kapaa,22.0752,-159.319,79.12,78,40,17.27,US,2022-11-08 03:11:35
13,Avera,33.194,-82.5271,67.51,74,3,5.75,US,2022-11-08 03:11:35
14,Necochea,-38.5473,-58.7368,59.47,58,0,17.4,AR,2022-11-08 03:11:35
15,Torbay,47.6666,-52.7314,58.75,95,100,23.02,CA,2022-11-08 03:11:33
16,Saint-Joseph,-21.3667,55.6167,73.78,75,21,4.79,RE,2022-11-08 03:11:36
17,Mataura,-46.1927,168.8643,65.48,43,85,3.24,NZ,2022-11-08 03:11:36
18,Esperance,-33.8667,121.9,61.68,71,100,16.73,AU,2022-11-08 03:11:08
19,Busselton,-33.65,115.3333,68.36,55,90,6.6,AU,2022-11-08 03:11:36
20,Luwuk,-0.9516,122.7875,87.04,65,95,3.98,ID,2022-11-08 03:11:36
21,Sawakin,19.1059,37.3321,80.89,80,17,4.7,SD,2022-11-08 03:11:37
22,Castro,-24.7911,-50.0119,48.42,98,3,5.01,BR,2022-11-08 03:11:37
23,Klaksvik,62.2266,-6.589,49.12,92,100,37.6,FO,2022-11-08 03:11:37
24,Kirkwall,58.9848,-2.9587,53.65,94,100,24.16,GB,2022-11-08 03:11:37
25,Albany,42.6001,-73.9662,48.63,58,4,1.01,US,2022-11-08 03:11:38
26,Saint-Francois,46.4154,3.9054,42.24,93,0,2.3,FR,2022-11-08 03:11:38
27,Saint George,37.1041,-113.5841,64.94,37,75,16.11,US,2022-11-08 03:08:37
28,Tuktoyaktuk,69.4541,-133.0374,3.51,83,100,9.42,CA,2022-11-08 03:10:47
29,Qaanaaq,77.484,-69.3632,-0.49,98,100,4.07,GL,2022-11-08 03:11:38
30,Tukrah,32.5341,20.5791,66.88,80,19,9.33,LY,2022-11-08 03:11:38
31,Nanortalik,60.1432,-45.2371,28.08,87,100,3.91,GL,2022-11-08 03:11:39
32,Hirara,24.8,125.2833,76.64,80,53,20.04,JP,2022-11-08 03:11:39
33,Longhua,23.6137,114.1919,70.75,81,97,2.95,CN,2022-11-08 03:11:39
34,Cidreira,-30.1811,-50.2056,61.81,81,23,11.61,BR,2022-11-08 03:11:39
35,Honningsvag,70.9821,25.9704,40.75,81,75,1.14,NO,2022-11-08 03:11:40
36,Hasaki,35.7333,140.8333,66.6,51,0,12.08,JP,2022-11-08 03:11:40
37,Autun,46.95,4.3,43.43,93,83,2.17,FR,2022-11-08 03:11:40
38,Farafangana,-22.8167,47.8333,72.95,85,88,8.39,MG,2022-11-08 03:11:40
39,Cheney,47.4874,-117.5758,26.94,93,75,17.27,US,2022-11-08 03:11:41
